Column,LatLong,Latitude,Longitude,City,cityURI,County,countyQID,State,stateQID
17843,33.4037 -112.4034,33.4037,-112.4034,,,Maricopa County,Q58691,Arizona,Q816
17877,33.4363 -112.35831,33.4363,-112.3583,Goodyear,Q79457,Maricopa County,Q58691,Arizona,Q816
17896,34.0297 -91.5376,34.0297,-91.5376,Gould,Q79495,Lincoln County,Q61294,Arkansas,Q1612
17912,32.7621 -109.8381,32.7621,-109.8381,Thatcher,Q512101,Graham County,Q58692,Arizona,Q816
17922,36.66701 -77.56581,36.667,-77.5658,,,Greensville County,Q340605,Virginia,Q1370
17934,33.49829 -90.2673,33.4983,-90.2673,,,Leflore County,Q497607,Mississippi,Q1494
17983,33.517109 -90.180428,33.5171,-90.1804,Greenwood,Q986376,Leflore County,Q497607,Mississippi,Q1494
17991,33.9335 -102.2409,33.9335,-102.2409,Littlefield,Q202736,Lamb County,Q112781,Texas,Q1439
17999,36.877355 -89.972295,36.8774,-89.9723,,,Stoddard,Q28089534,Missouri,Q1581
18019,36.66928 -89.9692,36.6693,-89.9692,Bernie,Q955330,Stoddard,Q28089534,Missouri,Q1581
18028,34.073725 -100.779335,34.0737,-100.7793,,,Motley County,Q483888,Texas,Q1439
18036,31.365265 -101.52137,31.3653,-101.5214,,,Reagan County,Q111851,Texas,Q1439
18099,34.186654 -101.943426,34.1867,-101.9434,,,Hale County,Q111622,Texas,Q1439
